title,actor_1,actor_2,actor_3,director,genres,all_info
avatar,CCH Pounder,Joel David Moore,Wes Studi,James Cameron,Action Adventure Fantasy Science Fiction,CCH Pounder Joel David Moore Wes Studi James Cameron Action Adventure Fantasy Science Fiction
pirates of the caribbean: at world's end,Johnny Depp,Orlando Bloom,Jack Davenport,Gore Verbinski,Action Adventure Fantasy,Johnny Depp Orlando Bloom Jack Davenport Gore Verbinski Action Adventure Fantasy
spectre,Christoph Waltz,Rory Kinnear,Stephanie Sigman,Sam Mendes,Action Adventure Thriller,Christoph Waltz Rory Kinnear Stephanie Sigman Sam Mendes Action Adventure Thriller
the dark knight rises,Tom Hardy,Christian Bale,Joseph Gordon-Levitt,Christopher Nolan,Action Thriller,Tom Hardy Christian Bale Joseph Gordon-Levitt Christopher Nolan Action Thriller
star wars: episode vii - the force awakens,Doug Walker,Rob Walker,unknown,Doug Walker,Documentary,Doug Walker Rob Walker unknown Doug Walker Documentary
john carter,Daryl Sabara,Samantha Morton,Polly Walker,Andrew Stanton,Action Adventure Science Fiction,Daryl Sabara Samantha Morton Polly Walker Andrew Stanton Action Adventure Science Fiction
spider-man 3,J.K. Simmons,James Franco,Kirsten Dunst,Sam Raimi,Action Adventure Romance,J.K. Simmons James Franco Kirsten Dunst Sam Raimi Action Adventure Romance
tangled,Brad Garrett,Donna Murphy,M.C. Gainey,Nathan Greno,Adventure Animation Comedy Family Fantasy Musical Romance,Brad Garrett Donna Murphy M.C. Gainey Nathan Greno Adventure Animation Comedy Family Fantasy Musical Romance
avengers: age of ultron,Chris Hemsworth,Robert Downey Jr.,Scarlett Johansson,Joss Whedon,Action Adventure Science Fiction,Chris Hemsworth Robert Downey Jr. Scarlett Johansson Joss Whedon Action Adventure Science Fiction
harry potter and the half-blood prince,Alan Rickman,Daniel Radcliffe,Rupert Grint,David Yates,Adventure Family Fantasy Mystery,Alan Rickman Daniel Radcliffe Rupert Grint David Yates Adventure Family Fantasy Mystery
batman v superman: dawn of justice,Henry Cavill,Lauren Cohan,Alan D. Purwin,Zack Snyder,Action Adventure Science Fiction,Henry Cavill Lauren Cohan Alan D. Purwin Zack Snyder Action Adventure Science Fiction
superman returns,Kevin Spacey,Marlon Brando,Frank Langella,Bryan Singer,Action Adventure Science Fiction,Kevin Spacey Marlon Brando Frank Langella Bryan Singer Action Adventure Science Fiction
quantum of solace,Giancarlo Giannini,Mathieu Amalric,Rory Kinnear,Marc Forster,Action Adventure,Giancarlo Giannini Mathieu Amalric Rory Kinnear Marc Forster Action Adventure
pirates of the caribbean: dead man's chest,Johnny Depp,Orlando Bloom,Jack Davenport,Gore Verbinski,Action Adventure Fantasy,Johnny Depp Orlando Bloom Jack Davenport Gore Verbinski Action Adventure Fantasy
the lone ranger,Johnny Depp,Ruth Wilson,Tom Wilkinson,Gore Verbinski,Action Adventure Western,Johnny Depp Ruth Wilson Tom Wilkinson Gore Verbinski Action Adventure Western
man of steel,Henry Cavill,Christopher Meloni,Harry Lennix,Zack Snyder,Action Adventure Fantasy Science Fiction,Henry Cavill Christopher Meloni Harry Lennix Zack Snyder Action Adventure Fantasy Science Fiction
the chronicles of narnia: prince caspian,Peter Dinklage,Pierfrancesco Favino,Damián Alcázar,Andrew Adamson,Action Adventure Family Fantasy,Peter Dinklage Pierfrancesco Favino Damián Alcázar Andrew Adamson Action Adventure Family Fantasy
the avengers,Chris Hemsworth,Robert Downey Jr.,Scarlett Johansson,Joss Whedon,Action Adventure Science Fiction,Chris Hemsworth Robert Downey Jr. Scarlett Johansson Joss Whedon Action Adventure Science Fiction
pirates of the caribbean: on stranger tides,Johnny Depp,Sam Claflin,Stephen Graham,Rob Marshall,Action Adventure Fantasy,Johnny Depp Sam Claflin Stephen Graham Rob Marshall Action Adventure Fantasy
men in black 3,Will Smith,Michael Stuhlbarg,Nicole Scherzinger,Barry Sonnenfeld,Action Adventure Comedy Family Fantasy Science Fiction,Will Smith Michael Stuhlbarg Nicole Scherzinger Barry Sonnenfeld Action Adventure Comedy Family Fantasy Science Fiction
the hobbit: the battle of the five armies,Aidan Turner,Adam Brown,James Nesbitt,Peter Jackson,Adventure Fantasy,Aidan Turner Adam Brown James Nesbitt Peter Jackson Adventure Fantasy
the amazing spider-man,Emma Stone,Andrew Garfield,Chris Zylka,Marc Webb,Action Adventure Fantasy,Emma Stone Andrew Garfield Chris Zylka Marc Webb Action Adventure Fantasy
robin hood,Mark Addy,William Hurt,Scott Grimes,Ridley Scott,Action Adventure Drama History,Mark Addy William Hurt Scott Grimes Ridley Scott Action Adventure Drama History
the hobbit: the desolation of smaug,Aidan Turner,Adam Brown,James Nesbitt,Peter Jackson,Adventure Fantasy,Aidan Turner Adam Brown James Nesbitt Peter Jackson Adventure Fantasy
the golden compass,Christopher Lee,Eva Green,Kristin Scott Thomas,Chris Weitz,Adventure Family Fantasy,Christopher Lee Eva Green Kristin Scott Thomas Chris Weitz Adventure Family Fantasy
king kong,Naomi Watts,Thomas Kretschmann,Evan Parke,Peter Jackson,Action Adventure Drama Romance,Naomi Watts Thomas Kretschmann Evan Parke Peter Jackson Action Adventure Drama Romance
titanic,Leonardo DiCaprio,Kate Winslet,Gloria Stuart,James Cameron,Drama Romance,Leonardo DiCaprio Kate Winslet Gloria Stuart James Cameron Drama Romance
captain america: civil war,Robert Downey Jr.,Scarlett Johansson,Chris Evans,Anthony Russo,Action Adventure Science Fiction,Robert Downey Jr. Scarlett Johansson Chris Evans Anthony Russo Action Adventure Science Fiction
battleship,Liam Neeson,Alexander Skarsgård,Tadanobu Asano,Peter Berg,Action Adventure Science Fiction Thriller,Liam Neeson Alexander Skarsgård Tadanobu Asano Peter Berg Action Adventure Science Fiction Thriller
jurassic world,Bryce Dallas Howard,Judy Greer,Omar Sy,Colin Trevorrow,Action Adventure Science Fiction Thriller,Bryce Dallas Howard Judy Greer Omar Sy Colin Trevorrow Action Adventure Science Fiction Thriller
skyfall,Albert Finney,Helen McCrory,Rory Kinnear,Sam Mendes,Action Adventure Thriller,Albert Finney Helen McCrory Rory Kinnear Sam Mendes Action Adventure Thriller
spider-man 2,J.K. Simmons,James Franco,Kirsten Dunst,Sam Raimi,Action Adventure Fantasy Romance,J.K. Simmons James Franco Kirsten Dunst Sam Raimi Action Adventure Fantasy Romance
iron man 3,Robert Downey Jr.,Jon Favreau,Don Cheadle,Shane Black,Action Adventure Science Fiction,Robert Downey Jr. Jon Favreau Don Cheadle Shane Black Action Adventure Science Fiction
alice in wonderland,Johnny Depp,Alan Rickman,Anne Hathaway,Tim Burton,Adventure Family Fantasy,Johnny Depp Alan Rickman Anne Hathaway Tim Burton Adventure Family Fantasy
